clique_id,graph_id,atom_id
0,0,1
0,0,2
0,0,3
0,0,4
0,0,14
0,0,15
1,0,7
1,0,8
1,0,9
1,0,10
1,0,11
1,0,12
2,0,0
2,0,1
3,0,4
3,0,5
4,0,5
4,0,6
5,0,6
5,0,7
6,0,12
6,0,13
0,1,9
0,1,10
0,1,11
0,1,12
0,1,13
0,1,15
1,1,17
1,1,18
1,1,19
1,1,20
1,1,21
1,1,22
2,1,0
2,1,1
3,1,1
3,1,2
4,1,1
4,1,17
5,1,2
5,1,3
6,1,3
6,1,4
7,1,4
7,1,5
8,1,5
8,1,6
9,1,6
9,1,7
10,1,6
10,1,8
11,1,6
11,1,9
12,1,13
12,1,14
13,1,15
13,1,16
14,1,1
15,1,6
0,2,1
0,2,2
0,2,17
0,2,22
0,2,23
1,2,11
1,2,12
1,2,13
1,2,14
1,2,15
1,2,16
2,2,17
2,2,18
2,2,19
2,2,20
2,2,21
2,2,22
3,2,0
3,2,1
4,2,2
4,2,3
5,2,3
5,2,4
6,2,4
6,2,5
7,2,4
7,2,6
8,2,6
8,2,7
9,2,7
9,2,8
10,2,7
10,2,11
11,2,8
11,2,9
12,2,8
12,2,10
13,2,4
14,2,7
15,2,8
0,3,4
0,3,5
0,3,7
0,3,8
0,3,19
0,3,20
1,3,0
1,3,1
2,3,1
2,3,2
3,3,1
3,3,3
4,3,3
4,3,4
5,3,5
5,3,6
6,3,8
6,3,9
7,3,9
7,3,10
8,3,10
8,3,11
9,3,10
9,3,12
10,3,12
10,3,13
11,3,13
11,3,14
12,3,13
12,3,15
13,3,15
13,3,16
14,3,15
14,3,17
15,3,17
15,3,18
16,3,20
16,3,21
17,3,1
18,3,10
19,3,13
20,3,15
0,4,5
0,4,6
0,4,7
0,4,8
0,4,12
0,4,13
1,4,8
1,4,9
1,4,10
1,4,11
1,4,12
2,4,14
2,4,15
2,4,16
2,4,17
2,4,18
2,4,19
3,4,0
3,4,1
4,4,1
4,4,2
5,4,2
5,4,3
6,4,3
6,4,4
7,4,3
7,4,14
8,4,4
8,4,5
9,4,3
0,5,2
0,5,3
0,5,4
0,5,5
0,5,6
1,5,4
1,5,5
1,5,7
1,5,8
1,5,10
2,5,15
2,5,16
2,5,17
2,5,18
2,5,19
2,5,20
3,5,0
3,5,1
4,5,1
4,5,2
5,5,8
5,5,9
6,5,10
6,5,11
7,5,11
7,5,12
8,5,12
8,5,13
9,5,12
9,5,14
10,5,14
10,5,15
11,5,20
11,5,21
12,5,21
12,5,22
13,5,12
0,6,2
0,6,3
0,6,4
0,6,5
0,6,15
1,6,4
1,6,5
1,6,6
1,6,7
1,6,8
2,6,9
2,6,10
2,6,11
2,6,12
2,6,13
2,6,14
3,6,0
3,6,1
4,6,1
4,6,2
5,6,8
5,6,9
0,7,4
0,7,5
0,7,6
0,7,11
0,7,12
1,7,6
1,7,7
1,7,8
1,7,9
1,7,10
1,7,11
2,7,16
2,7,17
2,7,18
2,7,19
2,7,20
2,7,21
3,7,0
3,7,1
4,7,1
4,7,2
5,7,2
5,7,3
6,7,2
6,7,4
7,7,12
7,7,13
8,7,13
8,7,14
9,7,13
9,7,15
10,7,13
10,7,16
11,7,2
12,7,13
0,8,2
0,8,3
0,8,4
0,8,5
0,8,16
0,8,17
1,8,6
1,8,7
1,8,8
1,8,14
1,8,15
2,8,8
2,8,9
2,8,10
2,8,11
2,8,13
2,8,14
3,8,0
3,8,1
4,8,1
4,8,2
5,8,5
5,8,6
6,8,11
6,8,12
0,9,4
0,9,5
0,9,6
0,9,7
0,9,11
0,9,12
1,9,15
1,9,16
1,9,17
1,9,18
1,9,19
1,9,20
1,9,21
1,9,22
2,9,0
2,9,1
3,9,1
3,9,2
4,9,1
4,9,14
5,9,2
5,9,3
6,9,3
6,9,4
7,9,7
7,9,8
8,9,8
8,9,9
9,9,8
9,9,10
10,9,12
10,9,13
11,9,14
11,9,15
12,9,1
13,9,8
